po_id,vendor_id,order_date,expected_delivery,status,item_count,total_cost,requested_by
PO20250090,VEN008,2025-09-27,2025-10-04,Closed,6,39066.33,STAFF2251
PO20250091,VEN002,2025-05-02,2025-05-05,Closed,2,26764.94,STAFF4176
PO20250092,VEN004,2025-07-24,2025-07-29,Closed,6,36505.27,STAFF3419
PO20250093,VEN002,2025-09-20,2025-09-23,Closed,2,7748.99,STAFF4232
PO20250094,VEN008,2025-10-22,2025-10-29,Closed,10,8067.05,STAFF2234
PO20250095,VEN008,2025-10-20,2025-10-27,Closed,8,23465.68,STAFF8354
PO20250096,VEN003,2025-02-04,2025-02-06,Closed,10,32328.1,STAFF6295
PO20250097,VEN001,2025-03-03,2025-03-05,Closed,6,7972.39,STAFF2118
PO20250098,VEN005,2025-05-23,2025-05-27,Closed,8,31753.56,STAFF5500
PO20250099,VEN009,2025-03-22,2025-03-25,Closed,1,17921.14,STAFF2215
PO20250100,VEN003,2025-08-13,2025-08-15,Closed,8,22869.74,STAFF1932
PO20250101,VEN002,2025-07-14,2025-07-17,Closed,5,4298.18,STAFF2479
PO20250102,VEN008,2025-03-10,2025-03-17,Closed,10,25599.86,STAFF8581
PO20250103,VEN004,2025-03-27,2025-04-01,Closed,9,47734.46,STAFF1672
PO20250104,VEN008,2025-06-02,2025-06-09,Closed,10,32765.95,STAFF6267
PO20250105,VEN004,2025-03-15,2025-03-20,Closed,8,25317.68,STAFF2013
PO20250106,VEN002,2025-06-02,2025-06-05,Closed,2,40642.86,STAFF6626
PO20250107,VEN010,2025-12-06,2025-12-08,Closed,9,32483.29,STAFF1641
PO20250108,VEN004,2025-09-14,2025-09-19,Closed,8,49553.81,STAFF9586
PO20250109,VEN007,2025-04-26,2025-05-06,Closed,10,8357.94,STAFF7108
PO20250110,VEN008,2025-08-27,2025-09-03,Closed,7,20734.09,STAFF6543
PO20250111,VEN006,2025-02-05,2025-02-08,Closed,10,3092.09,STAFF6482
PO20250112,VEN005,2025-12-16,2025-12-20,Closed,6,5178.04,STAFF7333
PO20250113,VEN009,2025-08-26,2025-08-29,Closed,5,36324.82,STAFF3463
PO20250114,VEN003,2025-08-01,2025-08-03,Closed,2,29345.61,STAFF3317
PO20250115,VEN010,2025-07-23,2025-07-25,Closed,5,48400.98,STAFF7421
PO20250116,VEN001,2025-11-13,2025-11-15,Closed,10,35587.28,STAFF2388
PO20250117,VEN004,2025-08-13,2025-08-18,Closed,9,19145.63,STAFF6381
PO20250118,VEN001,2025-11-14,2025-11-16,Closed,9,5125.92,STAFF7937
PO20250119,VEN003,2025-05-03,2025-05-05,Closed,6,1402.41,STAFF6060
PO20250120,VEN010,2025-10-18,2025-10-20,Closed,4,17415.75,STAFF8967
PO20250121,VEN009,2025-10-12,2025-10-15,Closed,4,49998.84,STAFF3538
PO20250122,VEN004,2025-12-10,2025-12-15,Closed,5,42299.21,STAFF2657
PO20250123,VEN009,2025-05-04,2025-05-07,Closed,9,41838.43,STAFF9626
PO20250124,VEN002,2025-12-30,2026-01-02,Closed,6,43881.44,STAFF3147
PO20250125,VEN001,2025-03-19,2025-03-21,Closed,7,8135.51,STAFF3962
PO20250126,VEN006,2025-01-29,2025-02-01,Closed,10,40547.66,STAFF3712
PO20250127,VEN002,2025-06-08,2025-06-11,Closed,1,20837.5,STAFF4891
PO20250128,VEN010,2025-06-05,2025-06-07,Closed,10,14603.93,STAFF8355
PO20250129,VEN009,2025-09-21,2025-09-24,Closed,9,12338.84,STAFF8684
PO20250130,VEN002,2025-10-11,2025-10-14,Closed,6,34076.19,STAFF8218
PO20250131,VEN009,2025-05-27,2025-05-30,Closed,5,39017.14,STAFF9239
PO20250132,VEN007,2025-04-23,2025-05-03,Closed,7,48330.27,STAFF4271
PO20250133,VEN005,2025-03-15,2025-03-19,Closed,3,43713.6,STAFF1854
PO20250134,VEN005,2025-02-24,2025-02-28,Closed,8,43768.79,STAFF2680
PO20250135,VEN005,2025-01-19,2025-01-23,Closed,9,42632.72,STAFF5670
PO20250136,VEN010,2025-12-07,2025-12-09,Closed,3,14003.17,STAFF9410
PO20250137,VEN004,2025-11-04,2025-11-09,Closed,7,5039.82,STAFF4637
PO20250138,VEN007,2025-06-02,2025-06-12,Closed,6,46558.36,STAFF7797
PO20250139,VEN009,2025-12-22,2025-12-25,Closed,7,25349.35,STAFF4862
PO20250140,VEN010,2025-07-05,2025-07-07,Closed,2,19058.18,STAFF1461
PO20250141,VEN004,2025-08-08,2025-08-13,Closed,2,42039.23,STAFF6493
PO20250142,VEN002,2025-11-05,2025-11-08,Closed,3,2396.01,STAFF8740
PO20250143,VEN003,2025-01-27,2025-01-29,Closed,3,38062.64,STAFF8685
PO20250144,VEN008,2025-06-03,2025-06-10,Closed,10,759.93,STAFF2298
PO20250145,VEN002,2026-01-09,2026-01-12,Received,5,11174.91,STAFF3449
PO20250146,VEN007,2025-04-13,2025-04-23,Closed,10,26624.69,STAFF2821
PO20250147,VEN004,2025-08-24,2025-08-29,Closed,4,15406.98,STAFF1782
PO20250148,VEN001,2025-09-18,2025-09-20,Closed,7,32128.11,STAFF8489
PO20250149,VEN006,2025-12-17,2025-12-20,Closed,2,41916.04,STAFF9189
PO20250150,VEN006,2025-03-19,2025-03-22,Closed,9,1313.55,STAFF9443
PO20250151,VEN007,2025-03-30,2025-04-09,Closed,4,36067.94,STAFF5772
PO20250152,VEN010,2025-06-13,2025-06-15,Closed,1,30933.07,STAFF4941
PO20250153,VEN008,2025-04-01,2025-04-08,Closed,7,9772.04,STAFF2402
PO20250154,VEN006,2025-04-25,2025-04-28,Closed,6,3850.13,STAFF9618
PO20250155,VEN009,2025-04-15,2025-04-18,Closed,9,39427.41,STAFF9316
PO20250156,VEN001,2025-04-10,2025-04-12,Closed,1,19827.46,STAFF8702
PO20250157,VEN004,2025-12-27,2026-01-01,Closed,7,49061.45,STAFF5155
PO20250158,VEN003,2026-01-10,2026-01-12,Received,6,39531.74,STAFF6649
PO20250159,VEN006,2025-09-17,2025-09-20,Closed,2,38689.32,STAFF6447
PO20250160,VEN010,2025-11-11,2025-11-13,Closed,1,17938.8,STAFF6546
PO20250161,VEN004,2025-02-23,2025-02-28,Closed,3,41603.99,STAFF8612
PO20250162,VEN010,2025-01-27,2025-01-29,Closed,8,31770.92,STAFF3209
PO20250163,VEN003,2025-12-17,2025-12-19,Closed,8,2330.7,STAFF4302
PO20250164,VEN008,2025-12-27,2026-01-03,Closed,4,44346.62,STAFF6170
PO20250165,VEN010,2025-08-13,2025-08-15,Closed,9,20212.09,STAFF9897
PO20250166,VEN009,2025-05-21,2025-05-24,Closed,5,2312.73,STAFF4131
PO20250167,VEN008,2025-08-25,2025-09-01,Closed,6,43175.86,STAFF1783
PO20250168,VEN010,2025-02-17,2025-02-19,Closed,6,14024.22,STAFF7029
PO20250169,VEN004,2025-06-09,2025-06-14,Closed,7,37293.73,STAFF7334
PO20250170,VEN009,2025-07-29,2025-08-01,Closed,3,25062.06,STAFF9151
PO20250171,VEN002,2025-07-14,2025-07-17,Closed,9,13702.67,STAFF2353
PO20250172,VEN003,2025-06-15,2025-06-17,Closed,2,21815.05,STAFF3956
PO20250173,VEN004,2025-04-14,2025-04-19,Closed,5,16399.97,STAFF2311
PO20250174,VEN004,2025-08-04,2025-08-09,Closed,5,15671.54,STAFF7981
PO20250175,VEN001,2025-10-25,2025-10-27,Closed,8,17901.58,STAFF1693
PO20250176,VEN008,2025-07-22,2025-07-29,Closed,10,49908.45,STAFF5498
PO20250177,VEN008,2025-02-25,2025-03-04,Closed,1,4214.54,STAFF7655
PO20250178,VEN003,2025-07-16,2025-07-18,Closed,9,40154.25,STAFF3621
PO20250179,VEN004,2026-01-03,2026-01-08,Closed,3,42509.13,STAFF8179
PO20250180,VEN003,2026-01-01,2026-01-03,Closed,3,3828.05,STAFF7001
PO20250181,VEN010,2025-07-17,2025-07-19,Closed,7,47498.62,STAFF1530
PO20250182,VEN009,2025-03-15,2025-03-18,Closed,3,34113.57,STAFF7077
PO20250183,VEN007,2025-07-12,2025-07-22,Closed,8,38272.68,STAFF3255
PO20250184,VEN006,2025-04-22,2025-04-25,Closed,6,20202.69,STAFF5566
PO20250185,VEN010,2025-09-13,2025-09-15,Closed,2,1782.71,STAFF4048
PO20250186,VEN005,2025-05-08,2025-05-12,Closed,9,19655.88,STAFF2929
PO20250187,VEN008,2025-09-06,2025-09-13,Closed,5,35349.87,STAFF4515
PO20250188,VEN007,2025-03-11,2025-03-21,Closed,5,34852.04,STAFF9047
PO20250189,VEN005,2025-10-08,2025-10-12,Closed,2,7218.56,STAFF2213
PO20250190,VEN005,2025-06-01,2025-06-05,Closed,3,44984.61,STAFF8292
PO20250191,VEN010,2025-12-05,2025-12-07,Closed,6,33558.07,STAFF2063
PO20250192,VEN010,2025-04-12,2025-04-14,Closed,9,14872.93,STAFF5914
PO20250193,VEN007,2025-10-30,2025-11-09,Closed,3,39787.97,STAFF9335
PO20250194,VEN009,2025-09-26,2025-09-29,Closed,2,49264.06,STAFF3275
PO20250195,VEN003,2025-09-19,2025-09-21,Closed,8,1801.06,STAFF7044
PO20250196,VEN006,2025-05-24,2025-05-27,Closed,9,6923.68,STAFF2412
PO20250197,VEN002,2025-12-16,2025-12-19,Closed,5,20208.92,STAFF8842
PO20250198,VEN008,2025-04-24,2025-05-01,Closed,7,38573.65,STAFF2208
PO20250199,VEN005,2025-11-15,2025-11-19,Closed,6,32295.76,STAFF8372
PO20250200,VEN008,2025-05-25,2025-06-01,Closed,9,17553.48,STAFF3981
